institution,n_events,city,state_region,country,notes
Columbia,31,New York,N. Y,USA,"auto: 1 mailing address(es), unanimous"
Cornell,31,Ithaca,N. Y,USA,"auto: 2 mailing address(es), unanimous"
Illinois,30,Urbana,Ill,USA,"auto: 2 mailing address(es), unanimous"
Chicago,28,,,,
Hopkins,26,Baltimore,Md,USA,"auto: 1 mailing address(es), unanimous"
Michigan,24,Ann Arbor,Mich,USA,"auto: 1 mailing address(es), unanimous"
Wisconsin,24,Madison,Wis,USA,"auto: 1 mailing address(es), unanimous"
Kansas,19,Lawrence,Kans,USA,"auto: 1 mailing address(es), unanimous"
Harvard,18,,,,
Minnesota,18,Minneapolis,Minn,USA,"auto: 3 mailing address(es), unanimous"
Stanford,17,,,,
Yale,16,New Haven,Conn.,USA,
Pennsylvania,13,Philadelphia,Pa,USA,"auto: 3 mailing address(es), unanimous"
Pa. State,12,,,,
Ohio State,11,Columbus,Ohio,USA,"auto: 1 mailing address(es), unanimous"
U. S. Dept. Agr,11,,,,
North Carolina,10,Chapel Hill,N. C,USA,"auto: 1 mailing address(es), unanimous"
Northwestern,10,,,,
Princeton,10,,,,
California,9,Pasadena,Calif,USA,auto: 2 of 3 mailing addresses
Cincinnati,9,,,,
Nebraska,9,Omaha,Nebr,USA,"auto: 1 mailing address(es), unanimous"
Toronto,9,,,,
Vassar,9,Poughkeepsie,N. Y,USA,"auto: 1 mailing address(es), unanimous"
Mass. Inst. Tech,8,,,,
Oxford,8,,,,
Purdue,8,,,,
Western Reserve,8,,,,
Iowa Col,7,,,,
Missouri,7,,,,
Pittsburgh,7,,,,
Bur. Standards,6,,,,
Dartmouth,6,Hanover,N. H,USA,"auto: 1 mailing address(es), unanimous"
U. S. Geol. Surv,6,,,,
Exp. Sta,5,,,,
Ga. State Col. for Women,5,,,,
Iowa,5,,,,
Washington (Seattle),5,,,,
A.A.,4,,,,
Dalhousie,4,Halifax,N. S,Canada,"auto: 1 mailing address(es), unanimous"
Denison,4,,,,
Harvard Med. Sch,4,,,,
Ill. Exp. Sta,4,,,,
Indiana,4,,,,
Marquette,4,,,,
Miss. Agr. and Mech. Col,4,,,,
Rutgers,4,,,,
Scio Col,4,,,,
Virginia,4,Charlottesville,Va,USA,"auto: 1 mailing address(es), unanimous"
Zurich,4,,,,
Alabama,3,,,,
Amherst,3,,,,
Ark. Exp. Sta.,3,,,,
Berlin,3,,,,
Carnegie Institution,3,,,,
Colorado,3,,,,
Drake,3,,,,
Idaho,3,,,,
Ill. Col,3,,,,
Iowa Col.,3,,,,
Louisiana,3,,,,
McGill,3,,,,
McMaster,3,,,,
Mich. State Col,3,,,,
Minn. Acad. Med.,3,,,,
North Dakota,3,,,,
Oklahoma,3,,,,
Radcliffe,3,,,,
Tulane,3,,,,
U. S. Coast and Geod. Surv,3,,,,
Union,3,,,,
Utrecht,3,,,,
Va. Mil. Inst,3,,,,
West Virginia,3,,,,
Wis. Geol. Surv,3,,,,
'Kans. Univ. Science Bul',2,,,,
"A.A., B",2,,,,
Acker Process Co.,2,,,,
Ala. Polytech,2,,,,
Ass. Anat; Anthrop. Ass.,2,,,,
Brown,2,Providence,R.I.,USA,example — fill only when confident
Bur. Fisheries,2,,,,
Calif. Inst,2,Pasadena,Calif,USA,"auto: 2 mailing address(es), unanimous"
Ceramic Soc.,2,,,,
Colo,2,,,,
Conn,2,,,,
Cotner,2,,,,
E. Miss. Female Col,2,,,,
Earlham,2,,,,
Elec. Eng.,2,,,,
Empire Gas and Fuel Co,2,,,,
Fed. hort. board,2,,,,
Florida,2,Gainesville,Fla,USA,"auto: 1 mailing address(es), unanimous"
Geophys. Union,2,,,,
Haverford,2,,,,
Ind. Cent. Col,2,,,,
Int. Correspondence Schools,2,,,,
Iowa Exp. Sta,2,,,,
K. T. and Co,2,,,,
